address_id,address_query,address_query_length
41,"CROCODILE CARAVAN AND CAMPING PARK UNIT 10 5 MORILLA ST , LIGHTNING RIDGE NSW 2834",82
42,"CROCODILE CARAVAN AND CAMPING PARK UNIT 9 5 MORILLA ST , LIGHTNING RIDGE NSW 2834",81
43,"35-55 14-56 HIGH ST , BOURKE NSW 2840",37
44,"TOM THUMB 3788 CASTLEREAGH HWY , ARMATREE NSW 2828",50
45,"RIVERVIEW FARM 1 TANCRED DR , BOURKE NSW 2840",45
46,"CROCODILE CARAVAN AND CAMPING PARK UNIT 17 5 MORILLA ST , LIGHTNING RIDGE NSW 2834",82
47,"CROCODILE CARAVAN AND CAMPING PARK UNIT 7 5 MORILLA ST , LIGHTNING RIDGE NSW 2834",81
48,"FOREMANS COTTAGE 40 JAMES ST , WILCANNIA NSW 2836",49
49,"TSR R1966 968 NOWLEY RD , NOWLEY NSW 2386",41
50,"TSR R3 2895 NOWLEY RD , NOWLEY NSW 2386",39
51,"ALICE EDWARDS VILLAGE 10 PARKDALE RD , BOURKE NSW 2840",54
52,"STATION MANAGERS HOUSE 4258 TOORALE RD , GUMBALIE NSW 2840",58
53,"CROCODILE CARAVAN AND CAMPING PARK UNIT 6 5 MORILLA ST , LIGHTNING RIDGE NSW 2834",81
54,"GREAT COBAR MINERS HERITAGE PARK 57 NYNGAN RD , COBAR NSW 2835",62
55,"3364 ROSEVALE RD , CANBELEGO NSW 2835",37
56,"12 HOOD ST , WILCANNIA NSW 2836",31
57,"27 BROUGH ST , COBAR NSW 2835",29
58,"5-7 QUAMBONE RD , COONAMBLE NSW 2829",36
59,"10 EURIMIE ST , COONAMBLE NSW 2829",34
60,"8 CARR ST , COBAR NSW 2835",26
61,"15 MORRISON ST , COBAR NSW 2835",31
62,"49 CORNISH ST , COBAR NSW 2835",30
63,"60-62 HOOD ST , WILCANNIA NSW 2836",34
64,"46 OXLEY ST , BOURKE NSW 2840",29
65,"61 HARLEQUIN ST , LIGHTNING RIDGE NSW 2834",42
66,"UNIT 3 54 COONAMBLE ST , GULARGAMBONE NSW 2828",46
67,"14 WATTLE DR , COBAR NSW 2835",29
68,"5 WOODIWISS AV , COBAR NSW 2835",31
69,"AIRVIEW 145 SCOTTS RD , COONAMBLE NSW 2829",42
70,"32 COONAMBLE ST , GULARGAMBONE NSW 2828",39
71,"1 DENMAN ST , COBAR NSW 2835",28
72,"41 FANTASIA ST , LIGHTNING RIDGE NSW 2834",41
73,"26 NEBEA ST , COONAMBLE NSW 2829",32
74,"BOURKE AIRPORT 92 SID COLEMAN DR , NORTH BOURKE NSW 2840",56
75,"73 PANDORA ST , LIGHTNING RIDGE NSW 2834",40
76,"117 ROSEVALE RD , CANBELEGO NSW 2835",36
77,"UNIT 1 11 LINSLEY ST , COBAR NSW 2835",37
78,"14 BERTRAM ST , COONAMBLE NSW 2829",34
79,"9 BRADLEY ST , COBAR NSW 2835",29
